Unnamed: 0,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
46,2017-06-03 16:13:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
47,2017-06-03 16:16:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
48,2017-06-03 16:19:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
49,2017-06-03 16:23:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
50,2017-06-03 16:26:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
51,2017-06-03 16:29:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
52,2017-06-03 16:32:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
53,2017-06-03 16:36:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
54,2017-06-03 16:39:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
55,2017-06-03 16:42:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
56,2017-06-03 16:45:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
57,2017-06-03 16:49:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
58,2017-06-03 16:52:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
59,2017-06-03 16:55:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
60,2017-06-03 16:59:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
61,2017-06-03 17:02:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
62,2017-06-03 17:05:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
63,2017-06-03 17:08:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
64,2017-06-03 17:12:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
65,2017-06-03 17:15:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
66,2017-06-03 17:18:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
67,2017-06-03 17:21:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
68,2017-06-03 17:25:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
69,2017-06-03 17:28:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
70,2017-06-03 17:31:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
71,2017-06-03 17:35:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
72,2017-06-03 17:38:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
73,2017-06-03 17:41:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
74,2017-06-03 17:44:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
