Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,long,Latitude,lat,Distance_geopy,Distance traveled (km)
84,84,84,84,84,,2017-06-15 12:22:15,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
85,85,85,85,85,,2017-06-15 12:25:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
86,86,86,86,86,,2017-06-15 12:28:48,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
87,87,87,87,87,,2017-06-15 12:32:04,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
88,88,88,88,88,,2017-06-15 12:32:53,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
89,89,89,89,89,,2017-06-15 12:33:41,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
90,90,90,90,90,,2017-06-15 12:34:29,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
91,91,91,91,91,,2017-06-15 12:35:17,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
92,92,92,92,92,,2017-06-15 12:36:05,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
93,93,93,93,93,,2017-06-15 12:39:21,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
94,94,94,94,94,,2017-06-15 12:42:37,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
95,95,95,95,95,,2017-06-15 12:45:52,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
96,96,96,96,96,,2017-06-15 12:49:10,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
97,97,97,97,97,,2017-06-15 12:52:26,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
98,98,98,98,98,,2017-06-15 12:55:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
99,99,99,99,99,,2017-06-15 12:58:58,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
100,100,100,100,100,,2017-06-15 13:02:13,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
101,101,101,101,101,,2017-06-15 13:05:30,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
102,102,102,102,102,,2017-06-15 13:08:47,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
103,103,103,103,103,,2017-06-15 13:12:03,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
104,104,104,104,104,,2017-06-15 13:15:19,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
105,105,105,105,105,,2017-06-15 13:18:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
106,106,106,106,106,,2017-06-15 13:21:51,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
107,107,107,107,107,,2017-06-15 13:25:08,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
108,108,108,108,108,,2017-06-15 13:28:24,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
109,109,109,109,109,,2017-06-15 13:31:40,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
110,110,110,110,110,,2017-06-15 13:34:56,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
111,111,111,111,111,,2017-06-15 13:38:11,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
112,112,112,112,112,,2017-06-15 13:41:29,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
113,113,113,113,113,,2017-06-15 13:44:45,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
114,114,114,114,114,,2017-06-15 13:48:01,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
115,115,115,115,115,,2017-06-15 13:51:17,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
116,116,116,116,116,,2017-06-15 13:54:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
117,117,117,117,117,,2017-06-15 13:57:49,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
