Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Latitude,Longitude,Distance traveled (km),Distance_geopy
56,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约274米",111,639293,29,16216,"ACC开,3D定位,天线正常",0.0
57,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约274米",111,639292,29,162158,"ACC开,3D定位,天线正常",12406846.478046805
58,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约274米",111,639291,29,162155,"ACC开,3D定位,天线正常",291752.39962978737
59,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约274米",111,639291,29,162154,"ACC开,3D定位,天线正常",97253.12142692087
60,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约275米",111,639292,29,162151,"ACC开,3D定位,天线正常",291752.39962978987
61,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约275米",111,639293,29,162151,"ACC开,3D定位,天线正常",0.0
62,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约275米",111,639293,29,162152,"ACC开,3D定位,天线正常",97253.12142692338
63,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约275米",111,639293,29,162151,"ACC开,3D定位,天线正常",97253.12142692338
64,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约275米",111,639297,29,162154,"ACC开,3D定位,天线正常",291752.39962978987
65,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约275米",111,639312,29,162154,"ACC开,3D定位,天线正常",0.0
66,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约275米",111,639311,29,162153,"ACC开,3D定位,天线正常",97253.12142692338
67,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639311,29,162151,"ACC开,3D定位,天线正常",194504.5018861813
68,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639314,29,162151,"ACC开,3D定位,天线正常",0.0
69,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639313,29,16215,"ACC开,3D定位,天线正常",12050703.82186663
70,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639312,29,16215,"ACC开,3D定位,天线正常",0.0
71,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639313,29,162149,"ACC开,3D定位,天线正常",11924363.030215852
72,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639313,29,162148,"ACC开,3D定位,天线正常",97253.12142692087
73,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约276米",111,639319,29,162147,"ACC开,3D定位,天线正常",97253.12142692338
74,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约277米",111,63932,29,162146,"ACC开,3D定位,天线正常",97253.12142692087
75,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约277米",111,639323,29,162145,"ACC开,3D定位,天线正常",97253.12142692087
76,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约277米",111,639324,29,162143,"ACC开,3D定位,天线正常",194504.5018861813
77,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约277米",111,639323,29,162143,"ACC开,3D定位,天线正常",0.0
78,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约277米",111,639323,29,162143,"ACC开,3D定位,天线正常",0.0
79,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约126米,距石板滩中学 约277米",111,639318,29,162142,"ACC开,3D定位,天线正常",97253.12142692338
80,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639322,29,162134,"ACC开,3D定位,天线正常",777878.5332767016
81,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639322,29,162136,"ACC开,3D定位,天线正常",194504.5018861813
82,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约277米",111,639294,29,162132,"ACC开,3D定位,天线正常",388995.07134845905
83,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约277米",111,639295,29,162132,"ACC开,3D定位,天线正常",0.0
84,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约277米",111,639294,29,162129,"ACC开,3D定位,天线正常",291752.39962978987
85,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约275米",111,639286,29,162146,"ACC开,3D定位,天线正常",1651873.3108334718
86,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约275米",111,639291,29,162147,"ACC开,3D定位,天线正常",97253.12142692087
87,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约276米",111,6393,29,162142,"ACC开,3D定位,天线正常",486230.7713893497
88,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,63932,29,162126,"ACC开,3D定位,天线正常",1554859.3663865784
89,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约279米",111,63933,29,162124,"ACC开,3D定位,天线正常",194504.5018861813
90,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约279米",111,639329,29,162125,"ACC开,3D定位,天线正常",97253.12142692338
91,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约279米",111,639329,29,162126,"ACC开,3D定位,天线正常",97253.12142692087
92,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约279米",111,639328,29,162128,"ACC开,3D定位,天线正常",194504.5018861813
93,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639325,29,162129,"ACC开,3D定位,天线正常",97253.12142692087
94,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639318,29,162128,"ACC开,3D定位,天线正常",97253.12142692087
95,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639319,29,162129,"ACC开,3D定位,天线正常",97253.12142692087
96,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639319,29,162128,"ACC开,3D定位,天线正常",97253.12142692087
97,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639318,29,162127,"ACC开,3D定位,天线正常",97253.12142692087
98,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639314,29,162128,"ACC开,3D定位,天线正常",97253.12142692087
99,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639312,29,162129,"ACC开,3D定位,天线正常",97253.12142692087
100,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639313,29,162131,"ACC开,3D定位,天线正常",194504.5018861813
101,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639316,29,162132,"ACC开,3D定位,天线正常",97253.12142692338
102,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639317,29,162132,"ACC开,3D定位,天线正常",0.0
103,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639318,29,162131,"ACC开,3D定位,天线正常",97253.12142692338
104,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约125米,距石板滩中学 约278米",111,639316,29,162132,"ACC开,3D定位,天线正常",97253.12142692338
105,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639314,29,162131,"ACC开,3D定位,天线正常",97253.12142692338
106,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639313,29,162128,"ACC开,3D定位,天线正常",291752.39962978737
107,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639313,29,162127,"ACC开,3D定位,天线正常",97253.12142692087
108,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639311,29,162125,"ACC开,3D定位,天线正常",194504.5018861813
109,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639311,29,162125,"ACC开,3D定位,天线正常",0.0
110,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639312,29,162124,"ACC开,3D定位,天线正常",97253.12142692338
111,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639313,29,162124,"ACC开,3D定位,天线正常",0.0
112,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约124米,距石板滩中学 约278米",111,639312,29,162124,"ACC开,3D定位,天线正常",0.0
113,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,63931,29,162123,"ACC开,3D定位,天线正常",97253.12142692087
114,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639307,29,162124,"ACC开,3D定位,天线正常",97253.12142692087
115,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639306,29,162124,"ACC开,3D定位,天线正常",0.0
116,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639306,29,162124,"ACC开,3D定位,天线正常",0.0
117,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639305,29,162124,"ACC开,3D定位,天线正常",0.0
118,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约123米,距石板滩中学 约278米",111,639304,29,162123,"ACC开,3D定位,天线正常",97253.12142692087
