Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
39,39,39,39,39,39,39,39,39,39,39,39,,2017-06-15 02:09:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
40,40,40,40,40,40,40,40,40,40,40,40,,2017-06-15 02:13:12,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
41,41,41,41,41,41,41,41,41,41,41,41,,2017-06-15 02:16:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
42,42,42,42,42,42,42,42,42,42,42,42,,2017-06-15 02:19:44,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
43,43,43,43,43,43,43,43,43,43,43,43,,2017-06-15 02:22:59,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
44,44,44,44,44,44,44,44,44,44,44,44,,2017-06-15 02:26:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
45,45,45,45,45,45,45,45,45,45,45,45,,2017-06-15 02:29:33,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
46,46,46,46,46,46,46,46,46,46,46,46,,2017-06-15 02:32:49,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
47,47,47,47,47,47,47,47,47,47,47,47,,2017-06-15 02:36:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
48,48,48,48,48,48,48,48,48,48,48,48,,2017-06-15 02:39:20,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
49,49,49,49,49,49,49,49,49,49,49,49,,2017-06-15 02:42:37,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
50,50,50,50,50,50,50,50,50,50,50,50,,2017-06-15 02:45:54,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
51,51,51,51,51,51,51,51,51,51,51,51,,2017-06-15 02:49:10,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
52,52,52,52,52,52,52,52,52,52,52,52,,2017-06-15 02:52:26,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
53,53,53,53,53,53,53,53,53,53,53,53,,2017-06-15 02:55:42,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
54,54,54,54,54,54,54,54,54,54,54,54,,2017-06-15 02:58:58,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
55,55,55,55,55,55,55,55,55,55,55,55,,2017-06-15 03:02:15,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
56,56,56,56,56,56,56,56,56,56,56,56,,2017-06-15 03:05:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
57,57,57,57,57,57,57,57,57,57,57,57,,2017-06-15 03:08:47,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
58,58,58,58,58,58,58,58,58,58,58,58,,2017-06-15 03:12:03,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
59,59,59,59,59,59,59,59,59,59,59,59,,2017-06-15 03:15:18,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
60,60,60,60,60,60,60,60,60,60,60,60,,2017-06-15 03:18:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
61,61,61,61,61,61,61,61,61,61,61,61,,2017-06-15 03:21:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
62,62,62,62,62,62,62,62,62,62,62,62,,2017-06-15 03:25:08,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
63,63,63,63,63,63,63,63,63,63,63,63,,2017-06-15 03:28:24,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
64,64,64,64,64,64,64,64,64,64,64,64,,2017-06-15 03:31:40,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
65,65,65,65,65,65,65,65,65,65,65,65,,2017-06-15 03:34:56,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
66,66,66,66,66,66,66,66,66,66,66,66,,2017-06-15 03:38:13,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
67,67,67,67,67,67,67,67,67,67,67,67,,2017-06-15 03:41:29,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
68,68,68,68,68,68,68,68,68,68,68,68,,2017-06-15 03:44:45,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
69,69,69,69,69,69,69,69,69,69,69,69,,2017-06-15 03:48:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
70,70,70,70,70,70,70,70,70,70,70,70,,2017-06-15 03:51:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
