Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
35,35,35,,2017-04-21 01:59:41,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
36,36,36,,2017-04-21 02:02:57,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
37,37,37,,2017-04-21 02:06:13,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
38,38,38,,2017-04-21 02:09:29,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
39,39,39,,2017-04-21 02:12:45,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
40,40,40,,2017-04-21 02:16:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
41,41,41,,2017-04-21 02:19:18,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
42,42,42,,2017-04-21 02:22:34,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
43,43,43,,2017-04-21 02:25:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
44,44,44,,2017-04-21 02:29:06,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
45,45,45,,2017-04-21 02:32:22,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
46,46,46,,2017-04-21 02:35:38,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
47,47,47,,2017-04-21 02:38:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
48,48,48,,2017-04-21 02:42:11,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
49,49,49,,2017-04-21 02:45:26,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
50,50,50,,2017-04-21 02:48:43,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
51,51,51,,2017-04-21 02:51:59,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
52,52,52,,2017-04-21 02:55:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
